nodeID,workerID,start_time,stop_time,task,return_code,file_path
h36n12,Worker-02353b1d-90da-4db6-b355-37f95ccc081c,1673626586.1972246,1673626588.5945601,processing,0,Sphmag13G034500.1
h36n13,Worker-c225c59a-b61b-467f-a0f7-79b85d1e64e9,1673626578.712624,1673626578.7513216,postprocessing,0,Sphmag03G029600.1
h36n13,Worker-875e8c83-71d9-4f40-821b-7dabdcee0c25,1673626585.9882414,1673626588.6670842,processing,0,Sphmag02G085500.1
h36n13,Worker-8c194814-95d4-4333-941b-c4b310cc0bb2,1673626586.1460168,1673626588.6682937,processing,0,Sphmag15G052600.1
h36n12,Worker-bd77031a-0063-413b-b530-469ae2fe359e,1673626578.9259777,1673626578.963282,postprocessing,0,Sphmag19G020200.1
h36n12,Worker-082d0ce8-3089-4383-9603-db746856afef,1673626585.9025302,1673626588.9138029,processing,0,Sphmag01G167300.1
h36n13,Worker-4832df1e-6c37-4233-861e-4e3a445e4fba,1673626578.9545631,1673626578.9846828,postprocessing,0,Sphmag11G110100.1
h36n13,Worker-c9622fe9-265f-4f47-80b3-13aae12cb603,1673626579.017588,1673626579.073735,postprocessing,0,Sphmag10G091500.1
h36n12,Worker-6da2b57c-d1d2-42e4-95f2-e4a2e13bfea1,1673626586.6673365,1673626589.1421218,processing,0,Sphmag16G050800.1
h36n13,Worker-9db26d36-6fe3-47c5-8a09-a4310e0eda3d,1673626579.1739113,1673626579.2107263,postprocessing,0,Sphmag03G077200.1
h36n13,Worker-6e6dd7a9-18bf-4fa5-b0a5-8fe8c0f907c0,1673626579.260886,1673626579.3059957,postprocessing,0,Sphmag02G181200.1
h36n12,Worker-499e4ccc-f916-4e15-b068-723fc71faca3,1673626579.3452692,1673626579.3959203,postprocessing,0,Sphmag11G081300.1
h36n12,Worker-240ffd60-9624-4f4e-a3bd-b49e6fb34d85,1673626586.4262872,1673626589.471641,processing,0,Sphmag04G089500.1
h36n13,Worker-a4e32748-6f7c-4565-988b-57b3c19ab229,1673626579.5054085,1673626579.566648,postprocessing,0,Sphmag04G127500.1
h36n12,Worker-8729f565-2d94-4f65-87b4-58b63508d478,1673626587.4470122,1673626589.8407612,processing,0,Sphmag04G005300.1
h36n12,Worker-94224e31-1055-4a1d-94e7-339de42a72f5,1673626579.8701663,1673626579.9189844,postprocessing,0,Sphmag08G125800.1
h36n12,Worker-f33bfee1-330d-402a-b789-73225ec36602,1673626580.0477638,1673626580.0783107,postprocessing,0,Sphmag02G098800.1
h36n13,Worker-25ccc599-e18a-4cf5-a113-5d760801f9fe,1673626587.447823,1673626590.1595123,processing,0,Sphmag05G058100.1
h36n12,Worker-22f157f9-5af6-4ba5-814f-bf094a713233,1673626580.2073872,1673626580.2434955,postprocessing,0,Sphmag06G136400.1
h36n13,Worker-7de4180b-5416-47a5-b5e4-e3def4851f7d,1673626587.3557062,1673626590.2736819,processing,0,Sphmag04G007900.1
h36n12,Worker-d67a2f4b-8ad7-47d6-910f-778f31051a0d,1673626587.6955163,1673626590.375424,processing,0,Sphmag05G057500.1
h36n13,Worker-61f0bb78-eae6-419c-bb30-6ffc27e308d0,1673626588.020494,1673626590.645713,processing,0,Sphmag15G016100.1
h36n12,Worker-b1f47481-458f-43bc-9bf7-7853afe884de,1673626580.9584324,1673626580.9880493,postprocessing,0,Sphmag13G122100.1
h36n12,Worker-029a6a7e-9da1-45b5-bdf6-e8523ef3f8f1,1673626581.023284,1673626581.0698955,postprocessing,0,Sphmag03G016100.1
h36n12,Worker-02353b1d-90da-4db6-b355-37f95ccc081c,1673626588.659541,1673626591.0568173,processing,0,Sphmag05G113400.1
h36n13,Worker-28bb8b40-ecb2-48bd-badb-2f4e4144d682,1673626581.0714643,1673626581.1139038,postprocessing,0,Sphmag19G043100.1
h36n13,Worker-90c2eea4-e167-409d-bfa7-8e616c8021c0,1673626581.0773268,1673626581.1183188,postprocessing,0,Sphmag16G009800.1
h36n12,Worker-e3390aa7-ea82-4de1-9ad3-7da516f59106,1673626581.1713023,1673626581.1944046,postprocessing,0,Sphmag15G053300.1
h36n13,Worker-875e8c83-71d9-4f40-821b-7dabdcee0c25,1673626588.7723436,1673626591.227685,processing,0,Sphmag11G088500.1
h36n12,Worker-dc895be1-f4b3-4b8e-8c5b-dccc2bf297cc,1673626581.475487,1673626581.5174465,postprocessing,0,Sphmag19G030900.1
h36n13,Worker-8539bd1e-1b85-4929-809f-6c14462511ad,1673626588.4799705,1673626591.5153055,processing,0,Sphmag11G021100.1
h36n12,Worker-ae222e26-8023-46b3-b32e-b7d73b80c4be,1673626581.570253,1673626581.6008437,postprocessing,0,Sphmag01G041700.1
